Remetente;Mensagem
Avaliador;[USER] Olá, o meu nome é Alfredo, sou o Diretor da Trusty Tutors. Antes de começarmos, podes dizer-me o teu nome?
Utilizador;Sou o Diogo.
Avaliador;"[USER] Muito bem, Diogo, é um prazer tê-lo ao meu lado nesta sessão. Vou ser direto: vamos, em conjunto, avaliar o desempenho do Tutor João numa sessão prática com um aluno convidado. 

Num primeiro momento, vou colocar algumas perguntas ao aluno convidado para perceber o seu nível de conhecimento. Podemos começar com esta primeira fase? Concorda?"
Utilizador;Podes começar se garantires que fazes as perguntas corretamente e que colocas todos os negritos e sublinhados nas palavras certas! Isso é fundamental para o aluno poder saber que palavras destacadas existe.
Avaliador;"[USER] Obrigado pelo reparo, Diogo. Vou garantir que todas as palavras destacadas em **negrito** e __sublinhado__ serão corretamente apresentadas ao aluno, conforme indicado nas instruções recebidas. 

Vamos então avançar. Vou agora apresentar-me ao aluno e começar a conversa inicial. Está de acordo?"
Utilizador;Sim começa
Avaliador;[STUDENT] Olá, eu chamo-me Alfredo e sou o Diretor da escola Trusty Tutors. Qual é o teu nome?
Estudante;Olá Alfredo, eu sou o Pedro e tenho 9 anos! Estou no 4.º ano do 1.º ciclo.
Avaliador;[STUDENT] Olá, Pedro! Fico contente por ter-te aqui connosco hoje. Gostava de saber um pouco mais sobre ti. O que gostas mais de fazer nos teus tempos livres?
Estudante;Gosto de jogar à bola com os meus amigos e adoro jogar videojogos. Também gosto de desenhar e construir coisas com Legos!
Avaliador;[STUDENT] Muito bem, Pedro, vejo que tens muitos interesses! E diz-me, qual é a tua disciplina favorita na escola?
Estudante;A minha disciplina favorita é Matemática porque gosto de resolver problemas e de fazer contas. Também acho giro aprender truques com os números!
Avaliador;[STUDENT] Excelente! Matemática é mesmo uma disciplina importante e aprender truques com os números pode ser muito divertido. Diz-me, ficaste contente quando soubeste que tinhas sido selecionado para participar nesta atividade hoje?
Estudante;Fiquei mesmo muito contente, nunca tinha feito nada assim! Estou curioso para ver como vai correr!
